Prelacion;Consejeria / Ent. Instrumental;Centro Directivo / Unidades Administrativas;Cod. Puesto;Puesto;C.D C.E.;vigencia_inicio;vigencia_fin;relacion_inicio;relacion_fin
1;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;14.386.710;SECRETARIO/A DIRECTOR/A GERENTE;18;12/07/2022;;16/04/2023;
2;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;14.373.510;SECRETARIO/A DIRECTOR/A GERENTE;18;21/08/2021;29/01/2023;12/11/2021;01/03/2022
3;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;19.069.710;CONSEJERIA TECNICA;30;02/10/2021;;27/03/2022;
4;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;16.434.410;CONSEJERIA TECNICA;28;07/04/2021;;19/10/2022;
5;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.378.910;CONDUCTOR/A ACUERDO CONSEJO GOBIERNO;0;28/01/2022;;30/03/2022;16/06/2022
6;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.610;CONDUCTOR/A ACUERDO CONSEJO GOBIERNO;0;17/02/2022;;18/08/2022;
7;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.510;UN. GESTION ADMINISTRATIVA;20;11/09/2020;;31/12/2020;
8;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;7.057.810;ORDENANZA;0;21/03/2021;;14/10/2021;
9;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.911.910;GBTE. TECNICO;27;13/07/2021;;27/10/2021;
10;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.310;UN. GESTION ADMINISTRATIVA;20;11/12/2020;;16/08/2022;
11;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.210;UN. GESTION ADMINISTRATIVA;20;26/03/2020;;10/07/2022;
12;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.210;SV. LEGISLACION Y RECURSOS;28;21/04/2020;;22/09/2020;
13;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.410;UN. GESTION ADMINISTRATIVA;20;04/11/2021;;16/09/2022;
14;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.910;SV. PERSONAL Y ADMINISTRAC. GENERAL;28;17/07/2022;;15/04/2023;
15;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.102.320;ADMINISTRATIVO/A;15;02/01/2020;;22/03/2023;
16;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.881.910;GBTE. ASUNTOS ECONOMICOS;28;13/04/2021;;08/01/2022;
17;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.610;TITULADO/A GRADO MEDIO;18;11/06/2020;;19/02/2022;
18;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.714.310;GBTE. RECURSOS HUMANOS;27;25/11/2022;;05/01/2023;28/12/2025
19;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.776.510;GBTE. LEGISLACION Y RECURSOS;27;08/07/2020;;31/01/2022;
20;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.110;SV. CONTRATACION;28;10/08/2022;;03/01/2023;
21;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.446.210;ORDENANZA;0;16/05/2022;;07/02/2023;
22;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.715.210;TITULADO/A GRADO MEDIO;18;22/02/2021;;16/05/2023;
23;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.714.010;SV. COORDINACION;28;14/12/2021;;26/09/2022;
24;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.810;TITULADO/A GRADO MEDIO;18;05/05/2020;08/09/2023;04/03/2022;05/06/2023
25;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.710;TITULADO/A GRADO MEDIO;18;02/06/2020;;19/12/2022;
26;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.210;SECRETARIO/A GRAL.;30;06/12/2020;;10/10/2021;
27;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.090.520;ADMINISTRATIVO/A;15;29/10/2022;;04/03/2023;
28;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.538.910;ADMINISTRATIVO/A;15;04/10/2021;;03/06/2022;
29;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.310;DELEGADO/A PROTECCION DATOS;27;23/09/2021;;21/10/2022;
30;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.538.610;ADMINISTRATIVO/A;15;09/12/2020;;01/11/2021;
31;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.435.210;ORDENANZA;0;23/03/2022;;18/11/2022;
32;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.709.710;UN. GESTION ADMINISTRATIVA;20;11/03/2022;;07/07/2022;
33;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.315.910;SC. HABILITACION Y NOMINAS;22;22/11/2022;;14/01/2023;
34;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.410;ASESOR/A TECNICO/A;25;14/07/2022;;08/05/2023;
35;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.810;ASESOR/A TECNICO/A;22;30/12/2021;;06/11/2022;
36;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.110;DP. GESTION ADMINISTRATIVA;22;24/05/2022;;06/08/2022;
37;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.010;A.T.- CONTRATACION;22;25/01/2022;;18/01/2023;
38;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;9.166.210;UN. GESTION CONTRATACION;20;14/06/2020;;12/02/2022;
39;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.110;ASESOR/A TECNICO/A;26;27/05/2021;;03/07/2022;
40;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.810;ASESOR/A TECNICO/A;22;20/12/2022;;24/12/2022;
41;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;1.780.610;ASESOR/A TECNICO/A;22;11/01/2022;20/07/2024;21/05/2022;07/07/2022
42;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.713.710;UN. GESTION;20;02/07/2020;;30/05/2022;11/05/2024
43;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.922.720;TITULADO/A SUPERIOR;22;04/02/2021;;23/01/2022;
44;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.510;ASESOR/A TECNICO/A;22;20/04/2022;;31/08/2022;
