Prelacion;Consejeria / Ent. Instrumental;Centro Directivo / Unidades Administrativas;Cod. Puesto;Puesto;C.D C.E.;vigencia_inicio;vigencia_fin;relacion_inicio;relacion_fin
1;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;14.386.710;SECRETARIO/A DIRECTOR/A GERENTE;18;03/09/2020;;10/07/2024;
2;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;14.373.510;SECRETARIO/A DIRECTOR/A GERENTE;18;14/06/2020;10/02/2022;10/08/2021;08/12/2023
3;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;19.069.710;CONSEJERIA TECNICA;30;16/11/2023;;21/11/2020;
4;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GERENCIA;16.434.410;CONSEJERIA TECNICA;28;15/03/2022;;02/01/2026;
5;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.378.910;CONDUCTOR/A ACUERDO CONSEJO GOBIERNO;0;31/08/2024;;02/02/2022;
6;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.610;CONDUCTOR/A ACUERDO CONSEJO GOBIERNO;0;02/11/2024;;18/05/2021;
7;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.510;UN. GESTION ADMINISTRATIVA;20;31/12/2021;25/05/2022;11/12/2021;14/04/2024
8;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;7.057.810;ORDENANZA;0;07/02/2020;30/04/2022;02/12/2021;
9;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.911.910;GBTE. TECNICO;27;09/03/2020;09/07/2024;30/09/2020;
10;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.310;UN. GESTION ADMINISTRATIVA;20;26/05/2020;10/11/2020;28/10/2023;
11;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.210;UN. GESTION ADMINISTRATIVA;20;23/05/2025;;29/06/2020;
12;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.210;SV. LEGISLACION Y RECURSOS;28;13/09/2024;;18/11/2025;
13;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.410;UN. GESTION ADMINISTRATIVA;20;11/07/2025;;22/02/2024;
14;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.910;SV. PERSONAL Y ADMINISTRAC. GENERAL;28;30/07/2023;;13/04/2021;22/08/2024
15;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.102.320;ADMINISTRATIVO/A;15;29/03/2020;09/01/2022;08/08/2025;
16;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.881.910;GBTE. ASUNTOS ECONOMICOS;28;20/06/2024;25/10/2024;09/12/2024;24/04/2025
17;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.610;TITULADO/A GRADO MEDIO;18;12/01/2021;;12/05/2020;
18;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.714.310;GBTE. RECURSOS HUMANOS;27;15/11/2021;24/10/2024;06/11/2024;
19;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.776.510;GBTE. LEGISLACION Y RECURSOS;27;08/10/2025;12/01/2026;28/07/2023;
20;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.110;SV. CONTRATACION;28;01/12/2024;10/06/2025;16/01/2022;
21;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.446.210;ORDENANZA;0;30/03/2022;;07/01/2022;11/06/2025
22;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.715.210;TITULADO/A GRADO MEDIO;18;12/07/2022;27/01/2023;28/03/2022;29/04/2022
23;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.714.010;SV. COORDINACION;28;27/03/2024;24/09/2025;06/10/2022;
24;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.810;TITULADO/A GRADO MEDIO;18;05/10/2020;;24/07/2020;
25;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.710;TITULADO/A GRADO MEDIO;18;17/08/2020;22/02/2021;07/11/2022;
26;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.210;SECRETARIO/A GRAL.;30;21/05/2024;;12/02/2021;
27;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.090.520;ADMINISTRATIVO/A;15;12/02/2021;;14/07/2020;
28;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.538.910;ADMINISTRATIVO/A;15;13/10/2021;;03/10/2024;26/12/2025
29;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.310;DELEGADO/A PROTECCION DATOS;27;01/01/2024;03/10/2025;16/08/2021;
30;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.538.610;ADMINISTRATIVO/A;15;05/10/2021;28/09/2024;10/06/2024;
31;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.435.210;ORDENANZA;0;03/03/2020;23/02/2025;25/09/2023;10/01/2026
32;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.709.710;UN. GESTION ADMINISTRATIVA;20;20/11/2022;13/07/2025;04/02/2023;
33;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.315.910;SC. HABILITACION Y NOMINAS;22;08/08/2025;;14/09/2024;
34;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.410;ASESOR/A TECNICO/A;25;28/01/2023;31/12/2024;11/12/2022;
35;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.810;ASESOR/A TECNICO/A;22;22/09/2021;15/10/2022;13/02/2024;
36;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.110;DP. GESTION ADMINISTRATIVA;22;03/11/2024;;07/06/2022;
37;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.010;A.T.- CONTRATACION;22;05/04/2023;;24/01/2022;
38;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;9.166.210;UN. GESTION CONTRATACION;20;19/04/2022;03/07/2024;12/02/2026;
39;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.110;ASESOR/A TECNICO/A;26;06/12/2024;;02/07/2022;
40;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.810;ASESOR/A TECNICO/A;22;27/07/2025;;01/12/2024;
41;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;1.780.610;ASESOR/A TECNICO/A;22;18/01/2023;28/08/2023;13/01/2025;
42;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.713.710;UN. GESTION;20;11/04/2023;21/08/2024;27/07/2021;
43;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.922.720;TITULADO/A SUPERIOR;22;24/04/2021;29/06/2021;09/05/2021;
44;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.510;ASESOR/A TECNICO/A;22;04/01/2025;;13/07/2025;
45;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.310;ASESOR/A TECNICO/A;25;16/07/2025;;14/03/2021;
46;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.714.110;ASESOR/A TECNICO/A;26;28/11/2023;30/11/2024;31/05/2023;
47;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;101.720;TITULADO/A GRADO MEDIO;18;11/06/2022;29/07/2023;05/05/2021;28/05/2025
48;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.706.810;TITULADO/A GRADO MEDIO;18;16/05/2024;;17/05/2021;
49;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.401.910;UN. GESTION ADMINISTRATIVA;20;19/03/2025;;17/03/2021;
